,name,id,link
86,Herbert Stothart,ad5e3302-22cb-4c9a-93a7-19494dbf65a8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ad5e3302-22cb-4c9a-93a7-19494dbf65a8
87,Howard Dietz,06573eed-a3db-4139-a418-df4631cc873d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/06573eed-a3db-4139-a418-df4631cc873d
88,Ira Gershwin,9c808a20-1903-40fe-8e4a-d3bfdea5d3d8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/9c808a20-1903-40fe-8e4a-d3bfdea5d3d8
89,Irving Berlin,d82712b8-8b00-43d9-8a66-89d98c7e3db4,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/d82712b8-8b00-43d9-8a66-89d98c7e3db4
90,Irving Caesar,83750cb7-2edf-4654-acb1-3a931e06925d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/83750cb7-2edf-4654-acb1-3a931e06925d
91,Irving Kahal,159690e2-71d9-4674-a7b5-4b34d763d5f1,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/159690e2-71d9-4674-a7b5-4b34d763d5f1
92,J. Keirn Brennan,a3fe0cdd-cf90-41b1-83a7-3852fb1ad464,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a3fe0cdd-cf90-41b1-83a7-3852fb1ad464
93,J. Will Callahan,f723776d-9cc4-457e-a469-6a169824cb37,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f723776d-9cc4-457e-a469-6a169824cb37
94,J.W. Johnson,1d5c1e25-ab76-41c8-8635-39ca41e79b69,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/1d5c1e25-ab76-41c8-8635-39ca41e79b69
95,Jack Brooks,856d7efd-cfdb-493b-bc5b-6b58cc7d759a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/856d7efd-cfdb-493b-bc5b-6b58cc7d759a
96,Jack Hoins,746bc1db-9256-4989-b88a-09266e7809e5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/746bc1db-9256-4989-b88a-09266e7809e5
97,Jack Norworth,ae5ac687-a1dc-4435-84f6-d074bdbc97a0,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ae5ac687-a1dc-4435-84f6-d074bdbc97a0
98,James Duffy,15d7dbfa-2eb4-4ae9-b9b2-42692bffe3dd,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/15d7dbfa-2eb4-4ae9-b9b2-42692bffe3dd
99,James Heard,e05f555a-84b1-41b4-a88e-5557eabd9944,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e05f555a-84b1-41b4-a88e-5557eabd9944
100,James O'Dea,e4c776d4-2b50-4776-a93b-332e589e51e5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e4c776d4-2b50-4776-a93b-332e589e51e5
101,Jerome Kern,35e920df-b793-4bca-b888-1e55a346074a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/35e920df-b793-4bca-b888-1e55a346074a
102,Jimmy Kennedy,4dac837c-7ad9-465d-8156-0cfe64ecb92b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4dac837c-7ad9-465d-8156-0cfe64ecb92b
103,Jimmy Mchugh,4e23f41f-408f-428c-8011-0d125eccc7d3,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4e23f41f-408f-428c-8011-0d125eccc7d3
